,cdf,Requests per Session
0,0.0,0.9989999999999999
1,0.01,0.9989999999999999
2,0.02,0.9989999999999999
3,0.03,0.9989999999999999
4,0.04,0.9989999999999999
5,0.05,1.9997051226201907
6,0.06,1.9997051226201907
7,0.07,1.9997051226201907
8,0.08,1.9997051226201907
9,0.09,3.001162958349363
10,0.1,3.001162958349363
11,0.11,3.001162958349363
12,0.12,3.001162958349363
13,0.13,3.001162958349363
14,0.14,4.002823400834266
15,0.15,4.002823400834266
16,0.16,4.997811098765265
17,0.17,4.997811098765265
18,0.18,4.997811098765265
19,0.19,4.997811098765265
20,0.2,4.997811098765265
21,0.21,4.997811098765265
22,0.22,4.997811098765265
23,0.23,4.997811098765265
24,0.24,4.997811098765265
25,0.25,4.997811098765265
26,0.26,4.997811098765265
27,0.27,4.997811098765265
28,0.28,4.997811098765265
29,0.29,4.997811098765265
30,0.3,4.997811098765265
31,0.31,4.997811098765265
32,0.32,4.997811098765265
33,0.33,4.997811098765265
34,0.34,4.997811098765265
35,0.35000000000000003,4.997811098765265
36,0.36,4.997811098765265
37,0.37,4.997811098765265
38,0.38,4.997811098765265
39,0.39,4.997811098765265
40,0.4,4.997811098765265
41,0.41000000000000003,4.997811098765265
42,0.42,4.997811098765265
43,0.43,4.997811098765265
44,0.44,4.997811098765265
45,0.45,4.997811098765265
46,0.46,4.997811098765265
47,0.47000000000000003,4.997811098765265
48,0.48,4.997811098765265
49,0.49,4.997811098765265
50,0.5,4.997811098765265
51,0.51,4.997811098765265
52,0.52,4.997811098765265
53,0.53,4.997811098765265
54,0.54,4.997811098765265
55,0.55,4.997811098765265
56,0.56,4.997811098765265
57,0.5700000000000001,4.997811098765265
58,0.58,4.997811098765265
59,0.59,4.997811098765265
60,0.6,4.997811098765265
61,0.61,4.997811098765265
62,0.62,4.997811098765265
63,0.63,4.997811098765265
64,0.64,4.997811098765265
65,0.65,4.997811098765265
66,0.66,4.997811098765265
67,0.67,4.997811098765265
68,0.68,4.997811098765265
69,0.6900000000000001,4.997811098765265
70,0.7000000000000001,4.997811098765265
71,0.71,4.997811098765265
72,0.72,4.997811098765265
73,0.73,4.997811098765265
74,0.74,4.997811098765265
75,0.75,4.997811098765265
76,0.76,4.997811098765265
77,0.77,4.997811098765265
78,0.78,4.997811098765265
79,0.79,4.997811098765265
80,0.8,4.997811098765265
81,0.81,4.997811098765265
82,0.8200000000000001,4.997811098765265
83,0.8300000000000001,4.997811098765265
84,0.84,4.997811098765265
85,0.85,4.997811098765265
86,0.86,4.997811098765265
87,0.87,4.997811098765265
88,0.88,4.997811098765265
89,0.89,4.997811098765265
90,0.9,4.997811098765265
91,0.91,4.997811098765265
92,0.92,4.997811098765265
93,0.93,4.997811098765265
94,0.9400000000000001,4.997811098765265
95,0.9500000000000001,4.997811098765265
96,0.96,4.997811098765265
97,0.97,4.997811098765265
98,0.98,4.997811098765265
99,0.99,4.997811098765265
100,1.0,4.997811098765265
